AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6060,Passenger Attendants,broad,"20,190",5.3,,,,,17.68,"36,780",0.8,13.00,15.39,17.12,18.98,22.93,"27,040","32,020","35,620","39,470","47,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6061,Passenger Attendants,detailed,"20,190",5.3,,,,,17.68,"36,780",0.8,13.00,15.39,17.12,18.98,22.93,"27,040","32,020","35,620","39,470","47,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6090,Miscellaneous Transportation Workers,broad,"10,940",4.8,,,,,20.93,"43,530",2.0,13.14,15.24,19.37,25.00,30.62,"27,340","31,700","40,300","52,000","63,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6099,"Transportation Workers, All Other",detailed,"10,940",4.8,,,,,20.93,"43,530",2.0,13.14,15.24,19.37,25.00,30.62,"27,340","31,700","40,300","52,000","63,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7000,Material Moving Workers,minor,"7,989,980",0.2,,,,,19.05,"39,620",0.2,14.01,15.96,17.93,21.49,24.93,"29,140","33,200","37,290","44,710","51,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7010,Conveyor Operators and Tenders,broad,"24,660",2.6,,,,,20.63,"42,900",0.5,15.75,16.97,18.88,22.60,28.80,"32,770","35,290","39,260","47,000","59,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7011,Conveyor Operators and Tenders,detailed,"24,660",2.6,,,,,20.63,"42,900",0.5,15.75,16.97,18.88,22.60,28.80,"32,770","35,290","39,260","47,000","59,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7020,Crane and Tower Operators,broad,"42,260",2.8,,,,,32.71,"68,040",1.4,18.85,23.26,31.10,37.85,47.51,"39,200","48,380","64,690","78,720","98,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7021,Crane and Tower Operators,detailed,"42,260",2.8,,,,,32.71,"68,040",1.4,18.85,23.26,31.10,37.85,47.51,"39,200","48,380","64,690","78,720","98,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7030,Dredge Operators,broad,940,9.7,,,,,25.82,"53,700",1.7,18.21,21.00,24.25,29.17,34.89,"37,870","43,670","50,440","60,670","72,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7031,Dredge Operators,detailed,940,9.7,,,,,25.82,"53,700",1.7,18.21,21.00,24.25,29.17,34.89,"37,870","43,670","50,440","60,670","72,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7040,Hoist and Winch Operators,broad,"2,230",6.6,,,,,31.64,"65,810",3.0,16.23,19.47,26.90,45.01,53.59,"33,760","40,490","55,950","93,630","111,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7041,Hoist and Winch Operators,detailed,"2,230",6.6,,,,,31.64,"65,810",3.0,16.23,19.47,26.90,45.01,53.59,"33,760","40,490","55,950","93,630","111,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7050,Industrial Truck and Tractor Operators,broad,"778,920",0.5,,,,,21.98,"45,720",0.2,16.95,18.40,21.38,24.05,28.78,"35,260","38,270","44,470","50,010","59,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7051,Industrial Truck and Tractor Operators,detailed,"778,920",0.5,,,,,21.98,"45,720",0.2,16.95,18.40,21.38,24.05,28.78,"35,260","38,270","44,470","50,010","59,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7060,Laborers and Material Movers,broad,"6,935,980",0.2,,,,,18.46,"38,400",0.2,13.85,15.58,17.65,20.66,23.68,"28,810","32,410","36,720","42,960","49,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7061,Cleaners of Vehicles and Equipment,detailed,"365,290",0.9,,,,,16.95,"35,250",0.3,11.81,13.89,16.42,18.51,22.33,"24,560","28,880","34,150","38,500","46,450",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,"3,008,300",0.3,,,,,19.12,"39,760",0.2,14.18,16.36,18.10,21.61,24.17,"29,480","34,040","37,660","44,950","50,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-7063,Machine Feeders and Offbearers,detailed,"44,500",2.1,,,,,19.71,"41,000",0.3,14.37,16.64,18.87,22.40,25.63,"29,880","34,610","39,250","46,590","53,320",,
